mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
68.59564888477325,0.3892155885696411,1.7078163623809814,0.04623913764953613,0.9,10.0,2,0.5,200,1,5,0.01,0.1,0.9,"{'subsample': 0.9, 'scale_pos_weight': 10, 'reg_lambda': 2, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.738914217713855,0.7473356021823601,0.7431249099481075,0.004210692234252522,30,0.765605386688905,0.7602900486293134,0.7629477176591092,0.002657669029795806
63.44777274131775,0.4850428104400635,1.9928302764892578,7.534027099609375e-05,0.9,13.0,1,0.5,300,3,4,0.05,0.1,0.7,"{'subsample': 0.9, 'scale_pos_weight': 13, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.7554104539655616,0.7630384359512109,0.7592244449583863,0.003813990992824645,2,0.8062974676673073,0.8001110475986806,0.8032042576329939,0.003093210034313343
116.34026563167572,0.2509688138961792,4.038538932800293,0.05808877944946289,1.0,13.0,5,0.1,500,1,6,0.05,0.5,1.0,"{'subsample': 1.0, 'scale_pos_weight': 13, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.7503180554024447,0.7557321760129955,0.7530251157077201,0.0027070603052753994,17,0.9055662427376694,0.9085326141971105,0.90704942846739,0.0014831857297205597
109.1687136888504,0.4507392644882202,3.361169934272766,0.043511271476745605,0.7,13.0,2,0.0,500,7,5,0.1,0.5,1.0,"{'subsample': 0.7, 'scale_pos_weight': 13, 'reg_lambda': 2, 'reg_alpha': 0, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.7437871644126997,0.7528382517408192,0.7483127080767594,0.004525543664059772,25,0.9163620902145714,0.9162736806085209,0.9163178854115461,4.420480302524954e-05
72.91249883174896,0.19784557819366455,1.990971565246582,0.001276254653930664,1.0,5.0,1,0.0,300,7,4,0.01,0.5,0.7,"{'subsample': 1.0, 'scale_pos_weight': 5, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.7396546818407523,0.7483158998034973,0.7439852908221248,0.004330608981372497,29,0.7600150239821026,0.7539661079989308,0.7569905659905167,0.003024457991585905
105.711700797081,0.5361942052841187,3.359107494354248,0.013015985488891602,1.0,11.3,5,0.0,500,3,5,0.03,0.5,0.7,"{'subsample': 1.0, 'scale_pos_weight': 11.3, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.7564077404345231,0.7630123116622948,0.7597100260484089,0.003302285613885847,1,0.8312577909526437,0.8290637875283162,0.83016078924048,0.0010970017121637587
61.112192034721375,0.5399140119552612,2.3058032989501953,0.04107499122619629,1.0,8.0,1,0.0,300,5,5,0.1,0.0,0.8,"{'subsample': 1.0, 'scale_pos_weight': 8, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.8}",0.753175939324177,0.7595740580440677,0.7563749986841224,0.0031990593599453554,9,0.874722167701993,0.8741773890427538,0.8744497783723734,0.0002723893296195934
76.12685143947601,0.0031124353408813477,2.5464714765548706,0.003543257713317871,0.9,10.0,5,0.0,200,3,8,0.05,0.0,0.7,"{'subsample': 0.9, 'scale_pos_weight': 10, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7}",0.7512576467627426,0.7574635516161817,0.7543605991894622,0.0031029524267195407,15,0.9306696840741372,0.929813553195235,0.930241618634686,0.00042806543945111963
105.94621777534485,0.18059349060058594,3.450987458229065,0.05059921741485596,0.8,8.0,2,0.1,300,3,8,0.05,0.1,0.8,"{'subsample': 0.8, 'scale_pos_weight': 8, 'reg_lambda': 2, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.7483052498786052,0.7561660157280814,0.7522356328033433,0.003930382924738074,19,0.9573963434474132,0.9577983576280402,0.9575973505377267,0.00020100709031350972
71.0616010427475,0.027683138847351074,1.9099388122558594,0.0015704631805419922,0.7,5.0,2,0.0,200,5,6,0.01,0.1,0.7,"{'subsample': 0.7, 'scale_pos_weight': 5, 'reg_lambda': 2, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.7428387791605817,0.7510932876421453,0.7469660334013635,0.004127254240781808,27,0.783630540871015,0.7784768037101282,0.7810536722905717,0.0025768685804434255
