mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
119.70920499165852,0.8390856326560966,1.6410388151804607,0.019436698084279395,0.8,11.3,3,0.05,400,3,4,0.02,0.5,0.6,"{'subsample': 0.8, 'scale_pos_weight': 11.3, 'reg_lambda': 3, 'reg_alpha': 0.05, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.02, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.7547882879905968,0.7585939003212319,0.7577619301521732,0.7570480394880006,0.001633585262148854,100,0.7790875545293025,0.7759279532390848,0.7773466593937032,0.7774540557206969,0.0012921353274264107
110.33916091918945,0.4825778328455748,1.8590599695841472,0.007067437510848694,1.0,10.0,5,0.05,400,4,5,0.04,0.7,0.6,"{'subsample': 1.0, 'scale_pos_weight': 10, 'reg_lambda': 5, 'reg_alpha': 0.05, 'n_estimators': 400, 'min_child_weight': 4, 'max_depth': 5, 'learning_rate': 0.04, 'gamma': 0.7, 'colsample_bytree': 0.6}",0.7590509139370577,0.7645108946767027,0.7626160584225955,0.7620592890121186,0.0022635284478965964,26,0.8217860625312416,0.8176125706530131,0.8212407453470342,0.8202131261770963,0.0018522975792652444
161.19431630770364,1.0450044930002804,2.2747178077697754,0.024996087460210734,0.8,13.0,3,0.05,600,4,4,0.03,0.5,0.7,"{'subsample': 0.8, 'scale_pos_weight': 13, 'reg_lambda': 3, 'reg_alpha': 0.05, 'n_estimators': 600, 'min_child_weight': 4, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.759172745960778,0.7644581459201316,0.7624040145655712,0.7620116354821603,0.002175520503451622,27,0.8030314720203899,0.7997764274806745,0.8013438681792273,0.8013839225600972,0.0013291681619100582
140.1944670677185,1.023421637447701,2.271949132283529,0.0141330014529768,1.0,12.0,5,0.0,400,2,6,0.02,0.5,0.7,"{'subsample': 1.0, 'scale_pos_weight': 12, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 400, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.02, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.7570771674221307,0.7616033608112739,0.7608843829547005,0.759854970396035,0.00198601347946659,86,0.8255261547277063,0.8222996008373409,0.8251552387179059,0.8243269980943176,0.0014415615144186178
189.05332668622336,0.45350017078135246,2.5533971786499023,0.03114176781325203,0.9,10.0,5,0.0,700,3,4,0.02,0.3,0.6,"{'subsample': 0.9, 'scale_pos_weight': 10, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 700, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.02, 'gamma': 0.3, 'colsample_bytree': 0.6}",0.7585698609473563,0.763609316460197,0.7618713289195871,0.7613501687757136,0.0020900931220317843,52,0.7930546689226334,0.7904122737883721,0.7922612533385903,0.7919093986831985,0.0011070725014748338
130.93176770210266,0.7962315280270386,2.2036635080973306,0.03026208635848055,1.0,13.0,3,0.0,500,2,5,0.05,0.3,0.7,"{'subsample': 1.0, 'scale_pos_weight': 13, 'reg_lambda': 3, 'reg_alpha': 0, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.7568482848894145,0.7631105623235671,0.7609214749993206,0.760293440737434,0.002594847451026988,77,0.8453977196158605,0.8422524315317159,0.8447836580089919,0.8441446030521894,0.0013612500900338765
165.9600234826406,1.1793192926097438,2.737682819366455,0.03603708205413846,1.0,11.3,5,0.0,500,2,6,0.02,0.5,0.7,"{'subsample': 1.0, 'scale_pos_weight': 11.3, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.02, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.7582322717107118,0.76257679464301,0.7612934545025494,0.7607008402854237,0.0018224733349801849,70,0.8335200247118346,0.83038466835253,0.8338935854377963,0.8325994261673869,0.0015734783205471556
151.11189436912537,0.46411581755282083,2.1829700469970703,0.030678889929282013,0.9,12.0,5,0.0,500,2,5,0.03,0.3,0.6,"{'subsample': 0.9, 'scale_pos_weight': 12, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.6}",0.7593763627538613,0.7647728279669747,0.763154014305065,0.7624344016753003,0.002261097219164947,16,0.8227459666175818,0.8200398180758492,0.8209049916512947,0.8212302587815753,0.00112846769618837
111.49869775772095,0.6290566170902162,1.860737959543864,0.01521378269162859,1.0,13.0,7,0.1,400,4,5,0.04,0.3,0.8,"{'subsample': 1.0, 'scale_pos_weight': 13, 'reg_lambda': 7, 'reg_alpha': 0.1, 'n_estimators': 400, 'min_child_weight': 4, 'max_depth': 5, 'learning_rate': 0.04, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.7580280136806309,0.7639943983138995,0.7615804820018017,0.7612009646654441,0.0024505049077653282,57,0.8216299969350672,0.8191898340116965,0.8215742567171479,0.820798029221304,0.001137393399291098
166.30860630671182,0.5299402146098201,2.7624842325846353,0.048581830636138315,0.8,13.0,5,0.1,500,4,6,0.03,0.7,0.7,"{'subsample': 0.8, 'scale_pos_weight': 13, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.7, 'colsample_bytree': 0.7}",0.7588133847242038,0.7632394830219079,0.7631522188176539,0.7617350288545887,0.002066221523908607,38,0.85783538821096,0.8566727088625452,0.858800680717158,0.8577695925968877,0.0008699857664082369
