Threshold,Precision,Recall,F1
0.05,0.0810409286075784,0.9997985901309164,0.14992902232021504
0.1,0.08364293434206971,0.997583081570997,0.15434474377152116
0.15000000000000002,0.08863764019495932,0.9852970795568983,0.1626437928053727
0.2,0.0967859015203452,0.9667673716012085,0.17595630418446087
0.25,0.10631191233327995,0.93595166163142,0.19093598487961214
0.3,0.1167384680046233,0.8950654582074522,0.20653916761555086
0.35000000000000003,0.12956790312222868,0.8533736153071501,0.2249774332289067
0.4,0.14286747162171934,0.7959718026183283,0.24225334845373464
0.45,0.15911161237149177,0.7387713997985901,0.26183167963452064
0.5,0.17620354729729729,0.672306143001007,0.2792253962942825
0.55,0.19657894736842105,0.6018126888217523,0.2963550706669973
0.6000000000000001,0.2192805513531686,0.5254783484390735,0.3094348573800629
0.6500000000000001,0.24955096542433766,0.44773413897280967,0.3204786275499171
0.7000000000000001,0.2822027134876297,0.35609264853977846,0.31487088156723064
0.7500000000000001,0.3224763799104923,0.26122860020140987,0.2886391454322911
0.8,0.38482632541133455,0.16958710976837865,0.23542569551237244
0.8500000000000001,0.4657375145180023,0.08076535750251762,0.13765877102643323
0.9000000000000001,0.6047904191616766,0.020342396777442096,0.03936087295401403
0.9500000000000001,0.0,0.0,0.0
