XGB,LGBM,Threshold,Accuracy,Precision,Recall,F1,ROC_AUC
0.69,0.31,0.6,0.8433734939759037,0.25888429752066117,0.5047331319234643,0.34223284397405257,0.7907007868621687
0.7,0.3,0.65,0.8668195047396062,0.2845886752136752,0.42920443101711986,0.3422468481490404,0.7906998463937148
0.71,0.29,0.65,0.8667869860006829,0.28451268357810416,0.42920443101711986,0.3421918908069049,0.7906992514761704
0.68,0.32,0.6,0.8433897533453653,0.25901063719921513,0.5051359516616314,0.3424358274167122,0.7906989914223933
0.72,0.28,0.65,0.8666731704144514,0.2843045739431924,0.4294058408862034,0.34210526315789475,0.790696690124586
0.67,0.33,0.6,0.843308456498057,0.25872753563313367,0.5045317220543807,0.3420495664641223,0.7906965120055607
0.73,0.27,0.6,0.8431458628034405,0.25880898413352565,0.5059415911379658,0.34244427782700565,0.7906932880512022
0.66,0.34,0.6,0.8432759377591337,0.2585743801652893,0.5041289023162135,0.34182314783202455,0.7906930778707524
0.65,0.35,0.6,0.8433247158675187,0.2587044116127699,0.5043303121852971,0.3419830647364108,0.7906909048186433
0.74,0.26,0.65,0.8666243923060664,0.2843633457645178,0.4300100704934542,0.3423394532189529,0.7906886925803487
0.64,0.36,0.6,0.8431946409118254,0.25844088797108933,0.5041289023162135,0.3417064846416382,0.7906857714283332
0.75,0.25,0.6,0.842934491000439,0.25841309046001854,0.5057401812688822,0.3420514916223948,0.790681635504565
0.63,0.37,0.6,0.8432921971285954,0.25870081586285243,0.5045317220543807,0.3420262151829601,0.7906777097612468
0.76,0.24,0.6,0.8429670097393623,0.2585160028815478,0.5059415911379658,0.34218771284566135,0.790671981453392
0.62,0.38,0.6,0.8434385314537503,0.25879189077368636,0.5039274924471299,0.3419667873983462,0.7906676531610766
0.77,0.23,0.6,0.842934491000439,0.2585621721690836,0.5063444108761329,0.3423202614379085,0.790661194565218
0.61,0.39,0.6,0.8435198283010585,0.25897568546301086,0.5041289023162135,0.3421736158578264,0.7906556942497157
0.78,0.22,0.6,0.8430157878477472,0.2588440970793912,0.5069486404833837,0.3427054258288515,0.79064876185725
0.6,0.4,0.6,0.8436173845178284,0.2590367685137235,0.5037260825780463,0.3421340629274966,0.7906429338027411
