Threshold,Precision,Recall,F1
0.05,0.08394315499940574,0.9957703927492447,0.15483386051172843
0.1,0.09229460149380732,0.9830815709969789,0.1687467588591184
0.15000000000000002,0.1026273110606552,0.9558912386706948,0.1853544229642648
0.2,0.11462253570271415,0.9262839879154079,0.20400106458481193
0.25,0.12774040134555156,0.8872104733131924,0.22332632005881012
0.3,0.14180216802168022,0.8431017119838872,0.24277221980571262
0.35000000000000003,0.1565778534383784,0.796576032225579,0.26171254632080465
0.4,0.172052074552777,0.7399798590130916,0.27918993882746307
0.45,0.19048683695712929,0.686404833836858,0.2982149107455373
0.5,0.21133220910623945,0.6310171198388721,0.31662455785750376
0.55,0.2334640086746184,0.5637462235649546,0.3301875663560222
0.6000000000000001,0.2569966583124478,0.49566968781470294,0.33849116291864384
0.6500000000000001,0.2858317347218416,0.4201409869083585,0.34021038897496536
0.7000000000000001,0.3180352740375498,0.3377643504531722,0.327603047470209
0.7500000000000001,0.36494496189669773,0.26042296072507554,0.3039492242595205
0.8,0.4228219696969697,0.17985901309164148,0.2523668220997598
0.8500000000000001,0.503,0.1013091641490433,0.168650461022632
0.9000000000000001,0.6140939597315436,0.036858006042296075,0.06954208626258787
0.9500000000000001,1.0,0.0030211480362537764,0.006024096385542169
