Threshold,Precision,Recall,F1
0.05,0.08152602523659307,0.9993957703927493,0.15075422686050222
0.1,0.08561655728027225,0.9931520644511581,0.15764318483351716
0.15000000000000002,0.09276039770876837,0.9752265861027191,0.169407319291862
0.2,0.10230915865176328,0.9512588116817724,0.18474838154472023
0.25,0.11286298772577587,0.911178247734139,0.20084796554862483
0.3,0.12595653059443102,0.8719033232628399,0.22011491330655414
0.35000000000000003,0.1398023484039806,0.8177240684793555,0.23878139151914368
0.4,0.15525697564192392,0.758710976837865,0.2577665252497605
0.45,0.1728562120984313,0.694662638469285,0.2768279958263103
0.5,0.19043795169559577,0.6209466263846929,0.2914815164980618
0.55,0.213019583559099,0.5542799597180262,0.30776112726459404
0.6000000000000001,0.23788015657934358,0.4773413897280967,0.317524115755627
0.6500000000000001,0.26900905846829537,0.3947633434038268,0.31997387968329116
0.7000000000000001,0.3061742868307933,0.31560926485397783,0.31082019240305464
0.7500000000000001,0.34667507091080996,0.2215508559919436,0.27033669206193167
0.8,0.41343370005790386,0.14380664652567976,0.21338912133891214
0.8500000000000001,0.4953560371517028,0.06445115810674723,0.11406166458741757
0.9000000000000001,0.6101694915254238,0.014501510574018127,0.02832972653944521
0.9500000000000001,0.0,0.0,0.0
