Feature,Importance,Rank
num__cnt_drawings_current_sum,0.0017589971,137
cat__OCCUPATION_TYPE_Accountants,0.0017446306,138
cat__ORGANIZATION_TYPE_Transport: type 3,0.0017426691,139
num__amt_down_payment_mean,0.0017210984,140
num__drawing_ratio_std,0.001719495,141
num__FLAG_DOCUMENT_18,0.0017192314,142
num__sk_dpd_def_sum_y,0.0017105485,143
cat__NAME_FAMILY_STATUS_Single / not married,0.0017040987,144
cat__ORGANIZATION_TYPE_Business Entity Type 2,0.0017039431,145
num__bb_late_ratio_mean,0.0017032576,146
cat__ORGANIZATION_TYPE_Industry: type 9,0.0016961449,147
cat__NAME_FAMILY_STATUS_Widow,0.0016925486,148
num__amt_credit_sum_debt_sum,0.0016878287,149
num__num_instalment_number_sum,0.0016874054,150
num__early_days_min,0.001686127,151
cat__ORGANIZATION_TYPE_Business Entity Type 1,0.0016840023,152
num__days_credit_mean,0.0016811793,153
num__cnt_instalment_mature_cum_mean,0.0016740223,154
num__pos_returned_to_the_store,0.0016740041,155
num__FLAG_DOCUMENT_16,0.0016702525,156
num__FLAG_DOCUMENT_13,0.0016698354,157
cat__NAME_TYPE_SUITE_Other_B,0.0016682388,158
num__amt_balance_max,0.0016645326,159
num__YEARS_BEGINEXPLUATATION_MODE,0.0016598316,160
num__underpay_x_payment_ratio,0.0016596687,161
num__amt_credit_sum_std,0.0016551511,162
cat__ORGANIZATION_TYPE_Business Entity Type 3,0.001655049,163
num__previous_approved,0.0016550187,164
num__payment_ratio_max_x,0.0016458861,165
cat__WALLSMATERIAL_MODE_Block,0.0016436065,166
cat__ORGANIZATION_TYPE_School,0.0016426793,167
num__avg_application_credit_ratio,0.001641899,168
num__amt_credit_sum_mean,0.0016394446,169
num__payment_ratio_sum_y,0.0016389561,170
num__cnt_instalment_std,0.0016310521,171
num__instalment_cv,0.001628788,172
num__months_balance_min,0.0016255997,173
num__days_decision_mean,0.0016238997,174
num__days_termination_max,0.0016211283,175
num__amt_down_payment_std,0.001620591,176
num__cnt_drawings_current_max,0.0016136541,177
num__approval_rate,0.0016110126,178
num__amt_total_receivable_min,0.0016101253,179
cat__OCCUPATION_TYPE_Waiters/barmen staff,0.0016099397,180
num__amt_balance_sum,0.0016077518,181
num__REGION_RATING_CLIENT,0.0016073268,182
num__NONLIVINGAREA_MEDI,0.001606437,183
num__recent_ratio_mean,0.0016031442,184
num__amt_credit_sum_limit_std,0.0016023731,185
num__bb_closed_ratio_max,0.0016020268,186
num__amt_credit_sum_limit_mean,0.00160176,187
num__days_credit_enddate_sum,0.0015971933,188
num__amt_annuity_max,0.0015947043,189
num__bureau_active_ratio,0.0015930791,190
num__CREDIT_PER_PERSON,0.0015902137,191
num__days_entry_payment_max,0.0015842399,192
cat__ORGANIZATION_TYPE_Restaurant,0.0015810407,193
num__LIVINGAPARTMENTS_MEDI,0.0015808092,194
num__amt_balance_min,0.0015784446,195
num__amt_payment_max,0.0015782246,196
num__num_instalment_number_max,0.0015782163,197
num__late_days_max,0.0015755545,198
num__amt_annuity_mean,0.0015736459,199
num__ANNUITY_PER_PERSON,0.0015702914,200
num__sk_dpd_def_max_y,0.0015688322,201
num__credit_card_late_count,0.0015663197,202
num__amt_credit_sum_debt_max,0.0015644149,203
num__bb_total_late_max,0.0015597581,204
num__days_first_due_std,0.001551591,205
num__amt_credit_sum_overdue_std,0.001550751,206
cat__NAME_HOUSING_TYPE_With parents,0.0015506927,207
num__bb_late_ratio_max,0.0015455813,208
num__cnt_instalment_mature_cum_max,0.0015439985,209
num__CREDIT_INCOME_RATIO,0.0015436606,210
cat__ORGANIZATION_TYPE_Military,0.0015410719,211
num__cnt_instalment_mature_cum_sum,0.0015403787,212
num__underpay_amount_sum,0.0015376261,213
num__num_instalment_number_std,0.0015369715,214
num__overpay_amount_mean,0.001535965,215
num__amt_credit_sum_overdue_sum,0.001535963,216
num__APARTMENTS_MODE,0.0015359292,217
num__cnt_instalment_future_sum,0.0015334695,218
num__num_instalment_version_mean,0.001530369,219
num__bb_month_count_max,0.0015277778,220
num__days_instalment_max,0.0015267758,221
num__underpay_trend,0.0015258933,222
num__credit_day_overdue_max,0.0015258001,223
num__months_balance_mean,0.0015236214,224
cat__FONDKAPREMONT_MODE_not specified,0.0015234367,225
num__amt_credit_sum_limit_sum,0.0015170543,226
num__credit_card_late_ratio,0.0015170283,227
num__sk_dpd_def_sum_x,0.0015157589,228
num__amt_credit_limit_actual_sum,0.001512046,229
num__last3_overpay,0.0015107443,230
num__overpay_amount_sum,0.0015101354,231
num__max_payment_ratio,0.0015062169,232
num__early_days_mean,0.0015061802,233
num__YEARS_BEGINEXPLUATATION_MEDI,0.0015029619,234
cat__OCCUPATION_TYPE_Low-skill Laborers,0.0015001128,235
num__days_termination_min,0.0014961794,236
num__early_days_sum,0.0014957557,237
num__amt_total_receivable_std,0.0014921542,238
num__amt_credit_sum_sum,0.001490302,239
num__late_x_amount,0.0014894179,240
num__amt_drawings_current_sum,0.0014888061,241
num__amt_credit_limit_actual_min,0.0014876531,242
num__bb_month_count_sum,0.0014876488,243
num__last3_late_mean,0.0014798797,244
num__num_instalment_version_max,0.0014765131,245
num__exactpayment_count,0.001475957,246
num__payment_ratio_mean_x,0.0014737216,247
cat__ORGANIZATION_TYPE_Trade: type 2,0.001473495,248
num__months_balance_sum,0.001472075,249
num__amt_credit_sum_limit_max,0.001471294,250
num__amt_credit_sum_debt_std,0.001469166,251
num__amt_annuity_min,0.0014678106,252
num__underpay_amount_max,0.0014657894,253
num__NONLIVINGAPARTMENTS_MODE,0.0014628264,254
cat__NAME_FAMILY_STATUS_Separated,0.0014611396,255
num__overpayment_ratio,0.0014610684,256
num__YEARS_BUILD_MODE,0.001457281,257
num__last_due_day,0.0014568409,258
cat__OCCUPATION_TYPE_Private service staff,0.0014551015,259
num__amt_instalment_min,0.001455087,260
cat__OCCUPATION_TYPE_Cleaning staff,0.0014534477,261
num__amt_credit_sum_min,0.0014511902,262
num__num_instalment_version_std,0.0014498977,263
num__bb_month_count_min,0.0014471248,264
num__days_enddate_fact_sum,0.001446431,265
num__last_payment_amount,0.0014432913,266
num__DAYS_LAST_PHONE_CHANGE,0.0014429947,267
num__amt_goods_price_std,0.0014414547,268
num__cnt_payment_sum,0.0014402954,269
num__bb_month_count_std,0.0014400837,270
num__ratio_skew,0.0014331527,271
num__days_decision_max,0.0014317111,272
num__days_last_due_mean,0.0014315725,273
num__ENTRANCES_AVG,0.001431352,274
num__amt_payment_min,0.0014311217,275
num__payment_skew,0.0014288554,276
num__early_days_max,0.0014282737,277
num__days_enddate_fact_std,0.0014276524,278
num__future_installment_ratio_sum,0.001426557,279
num__amt_payment_std,0.0014262943,280
num__late_trend,0.0014256269,281
num__AMT_REQ_CREDIT_BUREAU_WEEK,0.0014254996,282
num__days_decision_std,0.0014211942,283
num__amt_drawings_current_std,0.0014188901,284
num__payment_consistency,0.0014187315,285
cat__ORGANIZATION_TYPE_Bank,0.0014170893,286
num__days_last_due_min,0.0014167817,287
num__pos_active,0.0014166991,288
num__amt_annuity_sum,0.001415982,289
num__installment_record_count,0.0014157379,290
num__amt_payment_current_min,0.0014145082,291
num__amt_credit_min,0.0014078231,292
num__amt_total_receivable_max,0.0014076314,293
num__amt_credit_std,0.0014072002,294
cat__OCCUPATION_TYPE_High skill tech staff,0.001405592,295
cat__ORGANIZATION_TYPE_Trade: type 6,0.0014050051,296
num__amt_goods_price_max,0.0014025542,297
num__LIVINGAREA_MODE,0.0014017394,298
num__amt_drawings_atm_current_sum,0.0014011312,299
num__sk_dpd_mean_y,0.0014010438,300
num__bb_closed_ratio_sum,0.0013997455,301
num__amt_credit_sum,0.0013991612,302
num__ratio_cv,0.0013966939,303
num__DAYS_REGISTRATION,0.0013955346,304
num__days_first_due_max,0.0013943893,305
num__days_credit_enddate_mean,0.001392286,306
cat__ORGANIZATION_TYPE_Police,0.0013910781,307
num__amt_drawings_pos_current_sum,0.0013908605,308
num__payment_diff_min,0.0013898083,309
cat__WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0013877382,310
num__days_last_due_sum,0.0013856179,311
num__last_instalment_amount,0.0013841507,312
num__days_last_due_std,0.0013839472,313
num__future_installment_ratio_std,0.0013839195,314
