Feature,Importance,Rank
num__recent_overpay,0.0,594
num__FLAG_DOCUMENT_2,0.0,595
num__max_late_days,0.0,596
num__FLAG_DOCUMENT_7,0.0,597
cat__OCCUPATION_TYPE_Cooking staff,0.0,598
num__FLAG_DOCUMENT_4,0.0,599
num__FLAG_DOCUMENT_12,0.0,600
num__FLAG_DOCUMENT_11,0.0,601
num__FLAG_DOCUMENT_10,0.0,602
num__FLAG_DOCUMENT_9,0.0,603
cat__NAME_INCOME_TYPE_Businessman,0.0,604
cat__NAME_FAMILY_STATUS_Unknown,0.0,605
num__FLAG_DOCUMENT_17,0.0,606
cat__NAME_TYPE_SUITE_Group of people,0.0,607
num__extremelatepayment_count,0.0,608
num__verylatepayment_count,0.0,609
num__num_instalment_version_min,0.0,610
num__overpay_amount_min,0.0,611
num__underpay_amount_min,0.0,612
cat__CODE_GENDER_XNA,0.0,613
cat__FLAG_OWN_REALTY_Y,0.0,614
num__FLAG_DOCUMENT_19,0.0,615
cat__NAME_INCOME_TYPE_Unemployed,0.0,616
cat__NAME_INCOME_TYPE_Student,0.0,617
cat__NAME_INCOME_TYPE_Pensioner,0.0,618
cat__NAME_INCOME_TYPE_Maternity leave,0.0,619
num__amt_credit_sum_overdue_min,0.0,620
num__credit_day_overdue_std,0.0,621
num__credit_day_overdue_min,0.0,622
cat__OCCUPATION_TYPE_Realty agents,0.0,623
cat__ORGANIZATION_TYPE_Industry: type 10,0.0,624
cat__ORGANIZATION_TYPE_Industry: type 1,0.0,625
cat__ORGANIZATION_TYPE_Housing,0.0,626
cat__ORGANIZATION_TYPE_Emergency,0.0,627
cat__ORGANIZATION_TYPE_Culture,0.0,628
cat__ORGANIZATION_TYPE_Electricity,0.0,629
cat__ORGANIZATION_TYPE_Cleaning,0.0,630
cat__ORGANIZATION_TYPE_Advertising,0.0,631
cat__OCCUPATION_TYPE_Security staff,0.0,632
cat__OCCUPATION_TYPE_HR staff,0.0,633
cat__OCCUPATION_TYPE_IT staff,0.0,634
cat__OCCUPATION_TYPE_Secretaries,0.0,635
cat__ORGANIZATION_TYPE_Transport: type 1,0.0,636
cat__ORGANIZATION_TYPE_Industry: type 13,0.0,637
cat__ORGANIZATION_TYPE_Industry: type 2,0.0,638
cat__ORGANIZATION_TYPE_Industry: type 11,0.0,639
num__AMT_REQ_CREDIT_BUREAU_HOUR,0.0,640
num__FLAG_DOCUMENT_21,0.0,641
num__FLAG_DOCUMENT_20,0.0,642
cat__ORGANIZATION_TYPE_XNA,0.0,643
cat__ORGANIZATION_TYPE_Transport: type 2,0.0,644
cat__ORGANIZATION_TYPE_University,0.0,645
cat__ORGANIZATION_TYPE_Industry: type 4,0.0,646
cat__ORGANIZATION_TYPE_Industry: type 8,0.0,647
cat__ORGANIZATION_TYPE_Insurance,0.0,648
cat__ORGANIZATION_TYPE_Industry: type 6,0.0,649
cat__ORGANIZATION_TYPE_Industry: type 7,0.0,650
cat__ORGANIZATION_TYPE_Mobile,0.0,651
cat__ORGANIZATION_TYPE_Postal,0.0,652
cat__ORGANIZATION_TYPE_Religion,0.0,653
cat__EMERGENCYSTATE_MODE_No,0.0,654
cat__EMERGENCYSTATE_MODE_Yes,0.0,655
